Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Eligible for sync-only verif?,Verif CPU time (usecs),Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,
broadcast_test,aluminum,ls-id-log-20160512005706.log.3vo8e7.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,antimony,ls-id-log-20160510043701.log.Jo7BSl.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
broadcast_test,argon,ls-id-log-20160504090729.log.T5CdNi.gz,0,1,,,verif,100377706,2,4,0,,,
broadcast_test,arsenic,ls-id-log-20160511154401.log.nKrST0.gz,1,0,18654594,41206444,,,2,3,0,,,
broadcast_test,barium,ls-id-log-20160504090408.log.Dn1VYo.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,beryllium,ls-id-log-20160511012914.log.8Hebbp.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,boron,ls-id-log-20160512033730.log.GSuElo.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,bromine,ls-id-log-20160512231633.log.QLpakI.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,cadmium,ls-id-log-20160504035820.log.HkxT7s.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,caesium,ls-id-log-20160512003640.log.uz23m3.gz,0,1,,,verif,73980569,2,4,0,,,
broadcast_test,calcium,ls-id-log-20160511044533.log.INVO6o.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,carbon,ls-id-log-20160510181917.log.HNlZZE.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,cerium,ls-id-log-20160511054106.log.q8WdD2.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,chlorine,ls-id-log-20160511001551.log.Rn1GIs.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,chromium,ls-id-log-20160512010105.log.RrLMTf.gz,1,0,18631690,42138833,,,2,3,0,,,
broadcast_test,cobalt,ls-id-log-20160511075251.log.xTgV1i.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,copper,ls-id-log-20160510171821.log.xU2Inb.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,dysprosium,ls-id-log-20160511230143.log.yTz2YG.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,erbium,ls-id-log-20160510094149.log.ASZncM.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,europium,ls-id-log-20160511135924.log.tv9A4E.gz,0,0,,,(QS had DR PPs),,2,4,10,,,
broadcast_test,fluorine,ls-id-log-20160511220040.log.UHlpBf.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,gadolinium,ls-id-log-20160511021813.log.rn2Zxk.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,gallium,ls-id-log-20160512060353.log.IF8Agc.gz,0,0,,,(QS had DR PPs),,2,4,2,,,
broadcast_test,germanium,ls-id-log-20160511044412.log.HcgUe9.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,gold,ls-id-log-20160510125850.log.ryxwNS.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
broadcast_test,hafnium,ls-id-log-20160511175935.log.FhHQ7S.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,helium,ls-id-log-20160511182805.log.GbKFhz.gz,0,1,,,verif,185271622,2,4,0,,,
broadcast_test,holmium,ls-id-log-20160510094731.log.AW07Q5.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,hydrogen,ls-id-log-20160510155320.log.TCi4db.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
