Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Mutual timeout with ICB? (table 1 in paper),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Malloc-recycle NOT false positives,Bug type,,,,,
alarm-simultaneous,philippines,ls-id-log-20160803040412.log.Yz0NV1.gz,1,0,0,381335842,2221598348,,0,0,0,0,2,3,0,0,"bugtype Sleep-related deadlock (TID 1 fell into a hole, and could take no more.",,,,,
alarm-simultaneous,saudiarabia,ls-id-log-20151112155325.log.HTaubz.gz,1,1,0,1426167888,13983472142,,0,0,13,13,15,16,0,0,bugtype [multiple],Free (in kernel) reentered Malloc!,KERNEL PANIC: ../../lib/kernel/list.c:106: assertion `is_head (elem) || is_interior (elem)' failed.,KERNEL PANIC: ../../threads/thread.c:641: assertion `is_thread (t)' failed.,USE AFTER FREE,
alarm-simultaneous,somalia,ls-id-log-20151112065332.log.fh0ey9.gz,0,0,0,,,,1,0,2,2,3,4,0,0,,,,,,
alarm-simultaneous,southafrica,ls-id-log-20151112065345.log.2L6Y9s.gz,0,0,0,,,,0,2,4,2,6,11,0,0,,,,,,
alarm-simultaneous,spainportugal,ls-id-log-20151112065635.log.AZS7RW.gz,1,1,0,1173062217,11546209905,,0,0,9,9,10,11,0,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,syria,ls-id-log-20151112174315.log.TChmla.gz,1,1,0,2733094188,26239965445,,0,0,11,11,2,3,3,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,taiwan,ls-id-log-20151112055536.log.GRRYsf.gz,1,0,0,1286616391,6716330609,,0,0,1,1,4,5,0,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,thailand,ls-id-log-20151112045156.log.h1Ov6r.gz,1,1,0,1227336736,12054183855,,0,2,11,9,14,19,0,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,uruguay,ls-id-log-20151112075434.log.COTwCd.gz,0,0,0,,,,1,1,2,1,3,5,3,0,,,,,,
alarm-simultaneous,westgermany,ls-id-log-20151112075713.log.8qNh2S.gz,0,0,0,,,,0,3,4,1,5,10,3,0,,,,,,
alarm-simultaneous,yugoslavia,ls-id-log-20151112135424.log.aDWZQz.gz,1,1,0,1329738688,13031144663,,0,2,11,9,13,17,0,0,bugtype USE AFTER FREE,,,,,
alarm-simultaneous,zimbabwe,ls-id-log-20151112045249.log.e1w4Pj.gz,1,0,0,174118220,1532174158,,0,0,2,2,7,9,0,0,bugtype [multiple],"Sleep-related deadlock (TID 1 fell into a hole, and could take no more.","Sleep-related deadlock (TID 3 fell into a hole, and could take no more.","Sleep-related deadlock (TID 4 fell into a hole, and could take no more.",,
broadcast_test,aluminum,ls-id-log-20160427090756.log.6ONC8l.gz,0,0,1,,,754704401,0,2,2,0,4,14,0,0,,,,,,
broadcast_test,antimony,ls-id-log-20160427151207.log.fBCn66.gz,0,0,1,,,924208547,0,2,2,0,4,14,1,0,,,,,,
broadcast_test,argon,ls-id-log-20160427171817.log.iySOv9.gz,0,0,1,,,100283019,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,arsenic,ls-id-log-20160428004808.log.miHFap.gz,1,0,0,21562514,54222610,,0,1,3,2,5,7,0,0,,,,,,
broadcast_test,barium,ls-id-log-20160429155356.log.4td3Hg.gz,0,0,0,,,,0,9,9,0,11,259,0,0,,,,,,
broadcast_test,beryllium,ls-id-log-20160427213410.log.HdkTgN.gz,0,0,1,,,2676871561,0,3,3,0,5,32,0,0,,,,,,
broadcast_test,boron,ls-id-log-20160429175828.log.bRA5S1.gz,0,0,0,,,,0,11,11,0,14,819,0,0,,,,,,
broadcast_test,bromine,ls-id-log-20160427085855.log.A0f2Nk.gz,0,0,0,,,,1,45,48,3,62,156,0,0,,,,,,
broadcast_test,cadmium,ls-id-log-20160427143739.log.KTEuiH.gz,0,0,0,,,,0,18,18,0,20,1142,0,0,,,,,,
broadcast_test,caesium,ls-id-log-20160428012214.log.6Ys3vt.gz,0,0,1,,,82627890,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,calcium,ls-id-log-20160427044438.log.610mA0.gz,0,0,1,,,649667650,0,3,3,0,5,31,0,0,,,,,,
broadcast_test,carbon,ls-id-log-20160429165540.log.iOmKSH.gz,0,0,0,,,,0,36,36,0,40,340,0,0,,,,,,
broadcast_test,cerium,ls-id-log-20160427172259.log.yOW5ry.gz,0,0,0,,,,0,18,18,0,20,858,0,0,,,,,,
broadcast_test,chlorine,ls-id-log-20160428012911.log.S3MOsc.gz,0,0,1,,,2475518009,0,3,3,0,5,29,0,0,,,,,,
broadcast_test,chromium,ls-id-log-20160427215906.log.8ipYzB.gz,1,0,0,19629202,45610861,,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,cobalt,ls-id-log-20160427145836.log.KNanfF.gz,0,0,0,,,,0,10,10,0,12,503,0,0,,,,,,
broadcast_test,copper,ls-id-log-20160427121934.log.AcUMSS.gz,0,0,1,,,19622786429,0,7,7,0,9,336,0,0,,,,,,
broadcast_test,dysprosium,ls-id-log-20160428013954.log.rQqXEQ.gz,0,0,0,,,,0,13,13,0,15,1138,0,0,,,,,,
broadcast_test,erbium,ls-id-log-20160427075115.log.GIEmtO.gz,0,0,1,,,23821173901,0,5,5,0,7,231,0,0,,,,,,
broadcast_test,europium,ls-id-log-20160427064929.log.863Owa.gz,0,0,0,,,,0,8,8,0,10,252,10,0,,,,,,
broadcast_test,fluorine,ls-id-log-20160427044659.log.cxe5Sn.gz,1,1,0,30882476,147450542,,0,47,49,2,56,234,0,0,,,,,,
broadcast_test,gadolinium,ls-id-log-20160427191104.log.T6bwqg.gz,0,0,1,,,1864468758,0,2,2,0,4,14,0,0,,,,,,
broadcast_test,gallium,ls-id-log-20160805014033.log.LVjK3v.gz,0,0,0,,,,0,6,6,0,8,75,2,1,,,,,,
broadcast_test,germanium,ls-id-log-20160427111135.log.bDbXNT.gz,0,0,1,,,717538254,0,2,2,0,4,14,0,0,,,,,,
broadcast_test,gold,ls-id-log-20160427182051.log.KiCcuq.gz,0,0,0,,,,0,27,27,0,29,160,1,0,,,,,,
broadcast_test,hafnium,ls-id-log-20160427125429.log.djFpNa.gz,0,0,1,,,466996793,0,1,1,0,4,14,0,0,,,,,,
broadcast_test,helium,ls-id-log-20160427202835.log.JYScwO.gz,0,0,1,,,192118678,0,0,0,0,2,4,0,0,,,,,,
