Test name,P2/Pintos group ID (anonymized),Log file name,Bug found with single-pass DR PPs only?,Bug found with nondeterministic DR PPs? (possibly in addition),Bug required nondeterministic DR PPs?,"Deterministic DR PPs used (if found multiple times, separated by slashes)","Nondeterministic DR PPs used (if found multiple times, separated by slashes)"
paraguay (aka signal),fluorine,ls-id-log-20160810104243.log.egXFpj.gz,1,0,0,DR 5@ 0x100082f' /'DR 5@ 0x100091a' /,
paraguay (aka signal),germanium,ls-id-log-20160810104131.log.CILEDp.gz,1,0,0,mutex_lock' 'DR 5@ 0x102917' /,
paraguay (aka signal),lithium,ls-id-log-20160810094104.log.5ZKbtl.gz,0,1,1,,mutex_lock' 'DR 5@ 0x10007c3' 'DR 4@ 0x1000845' [NONDET] /'DR 4@ 0x1003e51' [NONDET] /
paraguay (aka signal),phosphorus,ls-id-log-20160810033336.log.5Gq81D.gz,1,0,0,mutex_unlock' 'DR 4@ 0x1000537' /,
paraguay (aka signal),potassium,ls-id-log-20160810013046.log.whJCyU.gz,1,0,0,mutex_unlock' 'DR 4@ 0x1000742' /,
paraguay (aka signal),sulfur,ls-id-log-20160811221655.log.IOZD72.gz,1,0,0,mutex_unlock' 'DR 4@ 0x10005b7' /,
priority-sema (aka sched),argentina,ls-id-log-20160810034614.log.aVdhtG.gz,1,0,0,DR 1@ 0xc002b1a3' /'DR 1@ 0xc002b176' /'DR 1@ 0xc002b2e6' /'DR 1@ 0xc002b1ac' /,
priority-sema (aka sched),cuba,ls-id-log-20160810085710.log.eacZiw.gz,0,1,1,,DR 1@ 0xc0028447' [NONDET] /'DR 1@ 0xc002843c' [NONDET] /'DR 1@ 0xc00285c7' [NONDET] /'DR 1@ 0xc0028585' [NONDET] /'DR 1@ 0xc002847e' [NONDET] /'DR 1@ 0xc002844c' [NONDET] /'DR 1@ 0xc002858a' [NONDET] /
priority-sema (aka sched),france,ls-id-log-20160810111144.log.yhwLI6.gz,1,0,0,DR 1@ 0xc002d5bf' /'sema_down' 'DR 1@ 0xc002d5bf' /'DR 1@ 0xc002d5b4' /'DR 1@ 0xc002d5f6' /'DR 1@ 0xc002d5c4' /,
priority-sema (aka sched),nigeria,ls-id-log-20160810003210.log.spRqIY.gz,0,1,1,,DR 1@ 0xc0028b17' [NONDET] /'DR 1@ 0xc0028b0c' [NONDET] /'DR 1@ 0xc0028b1c' [NONDET] /'DR 1@ 0xc0028b4e' [NONDET] /'sema_up' 'DR 1@ 0xc0028b4e' [NONDET] /
priority-sema (aka sched),northkorea,ls-id-log-20160810104148.log.yNfeEz.gz,0,1,1,,DR 1@ 0xc002888e' [NONDET] /'DR 1@ 0xc0028857' [NONDET] /'DR 1@ 0xc002884c' [NONDET] /'DR 1@ 0xc002885c' [NONDET] /
priority-sema (aka sched),saudiarabia,ls-id-log-20160810024448.log.Jh8nyV.gz,0,1,1,,DR 1@ 0xc002d107' [NONDET] /'DR 1@ 0xc002d0fc' [NONDET] /'DR 1@ 0xc002d13e' [NONDET] /'DR 1@ 0xc002d10c' [NONDET] /
rwlock_downgrade_read_test,fluorine,ls-id-log-20160810083954.log.5bRgkR.gz,1,0,0,DR 5@ 0x10004ab' /'DR 5@ 0x1000596' /,
rwlock_downgrade_read_test,gadolinium,ls-id-log-20160810053620.log.ZuOIiB.gz,1,1,0,DR 4@ 0x1001fab' /'DR 4@ 0x1001fa1' /'DR 4@ 0x1001f4d' 'DR 5@ 0x1001f2b' /'DR 4@ 0x1001f8a' 'DR 5@ 0x1001f2b' /'DR 4@ 0x1001f92' 'DR 5@ 0x1001f2b' /'DR 5@ 0x1001f2b' 'DR 4@ 0x1001f97' /,DR 4@ 0x1001f4d' 'DR 5@ 0x1001f22' [NONDET] /'DR 4@ 0x1001f8a' 'DR 5@ 0x1001f22' [NONDET] /'DR 4@ 0x1001f92' 'DR 5@ 0x1001f22' [NONDET] /'DR 4@ 0x1001f97' 'DR 5@ 0x1001f22' [NONDET] /
rwlock_downgrade_read_test,lithium,ls-id-log-20160810083938.log.7F5eFJ.gz,1,0,0,DR 4@ 0x100046c' /,
rwlock_downgrade_read_test,yttrium,ls-id-log-20160810073910.log.J2WnSY.gz,0,1,1,,DR 5@ 0x1000f7e' [NONDET] 'DR 4@ 0x1001018' [NONDET] /'DR 5@ 0x1000f7e' [NONDET] 'DR 4@ 0x1000f32' [NONDET] /
thr_exit_join,barium,ls-id-log-20160810013046.log.jcxhrI.gz,1,1,0,DR 4@ 0x1000be9' /,DR 4@ 0x1000be0' [NONDET] /
thr_exit_join,fluorine,ls-id-log-20160810073928.log.I0qUDQ.gz,1,1,0,DR 5@ 0x1000d47' /'DR 5@ 0x1000e32' /,mutex_unlock' 'DR 4@ 0x1000e32' [NONDET] /'mutex_unlock' 'DR 4@ 0x1000d47' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b0a' 'DR 4@ 0x1000d47' [NONDET] /'mutex_lock' 'DR 5@ 0x1000af8' 'DR 4@ 0x1000d47' [NONDET] /'mutex_lock' 'DR 5@ 0x1000af8' 'DR 4@ 0x1000e32' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b0a' 'DR 4@ 0x1000e32' [NONDET] /
thr_exit_join,gallium,ls-id-log-20160810043459.log.uqawCE.gz,1,0,0,DR 4@ 0x1000e68' /'mutex_unlock' 'DR 5@ 0x10011e9' 'DR 5@ 0x1000e68' /'mutex_lock' 'DR 5@ 0x1000e68' /'mutex_unlock' 'DR 5@ 0x1000e68' 'DR 4@ 0x10011e9' /'mutex_unlock' 'DR 4@ 0x100023d' 'DR 5@ 0x1000e68' /'mutex_unlock' 'DR 5@ 0x102917' 'DR 5@ 0x1000e68' /'mutex_unlock' 'DR 5@ 0x10011ee' 'DR 5@ 0x1000e68' /'mutex_unlock' 'DR 4@ 0x10011ee' 'DR 5@ 0x1000e68' /,
