Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Total verif?,Bug time (wall=CPU) (usecs),Verif CPU time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
wait-simple,iran,ls-id-log-20160429152710.log.fLKXRa.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,iraq,ls-id-log-20160416215005.log.rHjptm.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,ivorycoast,ls-id-log-20160414124533.log.OVx36t.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,japan,ls-id-log-20160505225555.log.YozYKY.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,jordan,ls-id-log-20160505224549.log.GcnpOl.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,kenya,ls-id-log-20160429152649.log.Kvv9AN.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,laoscambodia,ls-id-log-20160413230137.log.h2gu0C.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,lebanon,ls-id-log-20160505224544.log.uAG3bv.gz,0,1 (oomkilled),0,,,0,,unknown,unknown,
wait-simple,libya,ls-id-log-20160505224532.log.i4sCMQ.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,malaysia,ls-id-log-20160413230236.log.mARJpV.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,pakistan,ls-id-log-20160505224510.log.7jcHh9.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,panama,ls-id-log-20160417080403.log.w9zssM.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,paraguay,ls-id-log-20160505224557.log.OzLuEw.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,peru,ls-id-log-20160415212704.log.4Tpn8n.gz,0,1,0,,,1,,3.13%,31d 11h 14m 17s,
wait-simple,poland,ls-id-log-20160505224512.log.axAUMu.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,romania,ls-id-log-20160505224521.log.cbkGZa.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,saudiarabia,ls-id-log-20160414174058.log.6jHQBj.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,southkorea,ls-id-log-20160505230244.log.zxYGPu.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,sudan,ls-id-log-20160429152714.log.gakJZL.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,sweden,ls-id-log-20160505230240.log.Oek0nB.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,syria,ls-id-log-20160413235434.log.nZLimc.gz,0,1,0,,,1,,0.01%,11y 359d 11h 39m 52s,
wait-simple,thailand,ls-id-log-20160505224542.log.d1G9JY.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,tunisia,ls-id-log-20160415032552.log.lSerVZ.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,turkey,ls-id-log-20160429152658.log.0UrDzp.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,venezuela,ls-id-log-20160505224512.log.JM85I9.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,vietnam,ls-id-log-20160505224512.log.wQqNox.gz,0,1,0,,,0,,0.00%,unknown,
wait-simple,yugoslavia,ls-id-log-20160413230239.log.17w1U5.gz,0,1,0,,,1,,0.00%,INF,
wait-simple,zaire,ls-id-log-20160414215031.log.y1r4LU.gz,0,1,0,,,1,,100.00%,0s,
wait-simple,zimbabwe,ls-id-log-20160414145120.log.v6yA9E.gz,0,1,0,,,1,,0.00%,INF,
