Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Bug time (wall=CPU) (usecs),Completion time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Elapsed time in completed max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
alarm-simultaneous,yugoslavia,ls-id-log-20160111223617.log.Zq7skU.gz,0,1,,,3,,,0.00%,1377427y 260d 14h 45m 9s,
alarm-simultaneous,zimbabwe,ls-id-log-20160111223735.log.gGP18s.gz,1,0,22280332,,1,22,,,,landslide-trace-1452569865.6.html
broadcast_test,aluminum,ls-id-log-20160430175113.log.qysApv.gz,0,0,,496512229,8,236,1m 35s,,,
broadcast_test,antimony,ls-id-log-20160502215724.log.x1MpFg.gz,0,0,,638598251,12,198,1m 25s,,,
broadcast_test,argon,ls-id-log-20160429223452.log.UMLSkB.gz,0,0,,573311531,8,212,1m 54s,,,
broadcast_test,arsenic,ls-id-log-20160429185926.log.XdxgU6.gz,1,0,34585164,,1,4,,,,landslide-trace-1461970785.23.html
broadcast_test,barium,ls-id-log-20160430154240.log.N5gQdO.gz,0,0,,602815076,7,474,2m 43s,,,
broadcast_test,beryllium,ls-id-log-20160430144338.log.A5ATYI.gz,0,0,,626757401,10,399,1m 46s,,,
broadcast_test,boron,ls-id-log-20160429184301.log.oHTq6N.gz,0,0,,487587279,8,188,1m 49s,,,
broadcast_test,bromine,ls-id-log-20160430062310.log.2uDRCa.gz,0,1,,,12,,,63.54%,19m 26s,
broadcast_test,cadmium,ls-id-log-20160430131128.log.upKkQ8.gz,0,0,,205995463,7,88,45s,,,
broadcast_test,caesium,ls-id-log-20160503062335.log.iKArWj.gz,0,0,,205055076,10,107,34s,,,
broadcast_test,calcium,ls-id-log-20160505224120.log.zfRZgi.gz,0,0,,62761015,4,16,23s,,,
